Nr.;Themengebiet;Frage;Option A;Option B;Option C;Option D;Richtig;Vollst„ndige Antwort;Schwierigkeit
56;Diabetologie/Endokrinologie;Welche Therapie wird bei zentraler Pubertas praecox eingesetzt?;Keine Angabe;GnRH-Analoga (Suppression der Gonadotropinausschttung).;Keine Angabe;Keine Angabe;B;GnRH-Analoga (Suppression der Gonadotropinausschttung).;mittel
57;Diabetologie/Endokrinologie;Welche autoimmune Thyreoiditis ist die h„ufigste Ursache einer erworbenen Hypothyreose im Kindes-/Jugendalter?;Keine Angabe;Keine Angabe;Die Hashimoto-Thyreoiditis (Autoantik”rper gegen TPO und Thyreoglobulin).;Keine Angabe;C;Die Hashimoto-Thyreoiditis (Autoantik”rper gegen TPO und Thyreoglobulin).;mittel
58;Diabetologie/Endokrinologie;Welche Form von Diabetes wird durch Mutationen einzelner Gene (z. B. HNF1A, GCK) verursacht und manifestiert sich oft milder?;Keine Angabe;Keine Angabe;MODY (Maturity Onset Diabetes of the Young).;Keine Angabe;C;MODY (Maturity Onset Diabetes of the Young).;schwer
59;Diabetologie/Endokrinologie;Welche akute Stoffwechselentgleisung ist beim Insulinmangel zu Beginn eines Typ-1-Diabetes besonders gefrchtet?;Keine Angabe;Keine Angabe;Die diabetische Ketoazidose.;Keine Angabe;C;Die diabetische Ketoazidose.;leicht
60;Diabetologie/Endokrinologie;Was ist der Pathomechanismus des Typ-1-Diabetes?;Keine Angabe;Autoimmune Zerst”rung der insulinproduzierenden ?-Zellen des Pankreas mit absolutem Insulinmangel.;Keine Angabe;Keine Angabe;B;Autoimmune Zerst”rung der insulinproduzierenden ?-Zellen des Pankreas mit absolutem Insulinmangel.;leicht
61;Neonatologie;Welche Ursache liegt dem Atemnotsyndrom (ANS/RDS) des Frhgeborenen zugrunde?;Keine Angabe;Keine Angabe;Keine Angabe;Surfactantmangel (Mangel an oberfl„chenaktivem Surfactant in den Alveolen mit Alveolarkollaps).;D;Surfactantmangel (Mangel an oberfl„chenaktivem Surfactant in den Alveolen mit Alveolarkollaps).;leicht
62;Neonatologie;Wie wird das Atemnotsyndrom des Frhgeborenen behandelt?;Keine Angabe;Keine Angabe;Keine Angabe;Surfactant-Applikation und Atemuntersttzung (CPAP/Beatmung), m”glichst lungenschonend.;D;Surfactant-Applikation und Atemuntersttzung (CPAP/Beatmung), m”glichst lungenschonend.;mittel
63;Neonatologie;Welche pr„natale Maánahme senkt das Risiko eines Atemnotsyndroms bei drohender Frhgeburt?;Keine Angabe;Keine Angabe;Keine Angabe;Antenatale (mtterliche) Glukokortikoidgabe (Lungenreifeinduktion).;D;Antenatale (mtterliche) Glukokortikoidgabe (Lungenreifeinduktion).;mittel
64;Neonatologie;Welche fnf Parameter werden im Apgar-Score erfasst?;Keine Angabe;Hautfarbe (Aussehen), Herzfrequenz (Puls), Reflexe/Grimassieren, Muskeltonus (Aktivit„t) und Atmung (jeweils 0?2 Punkte).;Keine Angabe;Keine Angabe;B;Hautfarbe (Aussehen), Herzfrequenz (Puls), Reflexe/Grimassieren, Muskeltonus (Aktivit„t) und Atmung (jeweils 0?2 Punkte).;mittel
65;Neonatologie;Was unterscheidet den physiologischen vom pathologischen Neugeborenenikterus zeitlich?;Keine Angabe;Pathologisch sind ein Ikterus innerhalb der ersten 24 Lebensstunden (Icterus praecox), ein zu hoher/schnell steigender Bilirubinwert oder ein verl„ngerter Verlauf (Icterus prolongatus).;Keine Angabe;Keine Angabe;B;Pathologisch sind ein Ikterus innerhalb der ersten 24 Lebensstunden (Icterus praecox), ein zu hoher/schnell steigender Bilirubinwert oder ein verl„ngerter Verlauf (Icterus prolongatus).;mittel
66;Neonatologie;Welche schwere Komplikation droht bei sehr hohen unkonjugierten Bilirubinwerten beim Neugeborenen?;Keine Angabe;Der Kernikterus (Bilirubinenzephalopathie) durch Ablagerung von Bilirubin in den Basalganglien.;Keine Angabe;Keine Angabe;B;Der Kernikterus (Bilirubinenzephalopathie) durch Ablagerung von Bilirubin in den Basalganglien.;mittel
67;Neonatologie;Welche Therapieoptionen bestehen bei behandlungsbedrftiger Neugeborenen-Hyperbilirubin„mie?;Keine Angabe;Keine Angabe;Phototherapie und bei sehr hohen Werten die Austauschtransfusion.;Keine Angabe;C;Phototherapie und bei sehr hohen Werten die Austauschtransfusion.;mittel
68;Neonatologie;Welche Erkrankung des (oft Frh-)Geborenen zeigt im R”ntgen eine Pneumatosis intestinalis und betrifft den Darm?;Keine Angabe;Die nekrotisierende Enterokolitis (NEC).;Keine Angabe;Keine Angabe;B;Die nekrotisierende Enterokolitis (NEC).;schwer
69;Neonatologie;Was versteht man unter der perinatalen Asphyxie und welcher Score weist akut darauf hin?;Keine Angabe;"Sauerstoffmangel/Minderperfusion um die Geburt; Hinweis u. a. ein niedriger Apgar (z. B. 5-Minuten-Apgar <5) mit Azidose im Nabelschnurblut.";Keine Angabe;Keine Angabe;B;"Sauerstoffmangel/Minderperfusion um die Geburt; Hinweis u. a. ein niedriger Apgar (z. B. 5-Minuten-Apgar <5) mit Azidose im Nabelschnurblut.";mittel
70;Neonatologie;Welche neuroprotektive Therapie kommt bei reifen Neugeborenen mit hypoxisch-isch„mischer Enzephalopathie (HIE) zum Einsatz?;Keine Angabe;Die kontrollierte Hypothermie (therapeutische Khlung), m”glichst frh begonnen.;Keine Angabe;Keine Angabe;B;Die kontrollierte Hypothermie (therapeutische Khlung), m”glichst frh begonnen.;schwer
71;Neonatologie;Welche pulmonale Folgeerkrankung entwickeln manche Frhgeborene nach l„ngerer Beatmung/Sauerstofftherapie?;Keine Angabe;Keine Angabe;Keine Angabe;Die bronchopulmonale Dysplasie (BPD), die chronische Lungenerkrankung des Frhgeborenen.;D;Die bronchopulmonale Dysplasie (BPD), die chronische Lungenerkrankung des Frhgeborenen.;mittel
72;Neonatologie;Was ist der Pathomechanismus des Mekoniumaspirationssyndroms?;Keine Angabe;Keine Angabe;Keine Angabe;Aspiration von mekoniumhaltigem Fruchtwasser mit Atemwegsobstruktion, Surfactantinhibition und Gefahr der persistierenden pulmonalen Hypertonie.;D;Aspiration von mekoniumhaltigem Fruchtwasser mit Atemwegsobstruktion, Surfactantinhibition und Gefahr der persistierenden pulmonalen Hypertonie.;schwer
73;Neonatologie;Wie unterscheidet man die Early-onset- von der Late-onset-Neugeborenensepsis zeitlich, und welcher Erreger ist bei der Early-onset-Sepsis fhrend?;"Early-onset: <72 h (bzw. erste Lebenstage), h„ufig B-Streptokokken (GBS); Late-onset: sp„ter, oft nosokomial (z. B. koagulasenegative Staphylokokken).";Keine Angabe;Keine Angabe;Keine Angabe;A;"Early-onset: <72 h (bzw. erste Lebenstage), h„ufig B-Streptokokken (GBS); Late-onset: sp„ter, oft nosokomial (z. B. koagulasenegative Staphylokokken).";schwer
74;Neonatologie;Welche Augenerkrankung des Frhgeborenen wird durch unreife Netzhautgef„áe und Sauerstofftherapie begnstigt?;Keine Angabe;Keine Angabe;Keine Angabe;Die Frhgeborenenretinopathie (Retinopathia praematurorum, ROP).;D;Die Frhgeborenenretinopathie (Retinopathia praematurorum, ROP).;mittel
75;Neonatologie;Welche Stoffwechselberwachung ist bei Neugeborenen von Mttern mit Diabetes besonders wichtig?;Blutzuckerkontrollen wegen Gefahr der neonatalen Hypoglyk„mie (Hyperinsulinismus).;Keine Angabe;Keine Angabe;Keine Angabe;A;Blutzuckerkontrollen wegen Gefahr der neonatalen Hypoglyk„mie (Hyperinsulinismus).;mittel
76;Neonatologie;Warum erhalten Neugeborene routinem„áig Vitamin K?;Keine Angabe;Zur Prophylaxe der Vitamin-K-Mangelblutung (Morbus haemorrhagicus neonatorum).;Keine Angabe;Keine Angabe;B;Zur Prophylaxe der Vitamin-K-Mangelblutung (Morbus haemorrhagicus neonatorum).;leicht
77;Neonatologie;Was beschreibt der Begriff ?Transitorische Tachypnoe des Neugeborenen? (TTN)?;Keine Angabe;Eine vorbergehende Atemst”rung durch verz”gerte Resorption der fetalen Lungenflssigkeit, meist milder und selbstlimitierend, h„ufiger nach Sectio.;Keine Angabe;Keine Angabe;B;Eine vorbergehende Atemst”rung durch verz”gerte Resorption der fetalen Lungenflssigkeit, meist milder und selbstlimitierend, h„ufiger nach Sectio.;mittel
78;Intensivmedizin;Wofr steht die Buchstabenfolge der ABCDE-Regel in der p„diatrischen Notfall-/Intensivmedizin?;Keine Angabe;Airway (Atemweg), Breathing (Beatmung/Atmung), Circulation (Kreislauf), Disability (Neurologie/Bewusstsein), Exposure (Entkleiden/Umgebung).;Keine Angabe;Keine Angabe;B;Airway (Atemweg), Breathing (Beatmung/Atmung), Circulation (Kreislauf), Disability (Neurologie/Bewusstsein), Exposure (Entkleiden/Umgebung).;leicht
79;Intensivmedizin;Nennen Sie die vier groáen Schockformen.;Hypovol„mischer, kardiogener, obstruktiver und distributiver Schock (distributiv u. a. septisch, anaphylaktisch, neurogen).;Keine Angabe;Keine Angabe;Keine Angabe;A;Hypovol„mischer, kardiogener, obstruktiver und distributiver Schock (distributiv u. a. septisch, anaphylaktisch, neurogen).;mittel
80;Intensivmedizin;Welcher klinische Parameter eignet sich gut zur Beurteilung der Organperfusion ber die letzten Stunden?;Keine Angabe;Keine Angabe;Keine Angabe;Die Urinproduktion (Diurese).;D;Die Urinproduktion (Diurese).;mittel
81;Intensivmedizin;Was ist die Erstmaánahme bei der Volumentherapie des hypovol„mischen oder septischen Schocks im Kindesalter?;Bolusgabe einer isotonen kristalloiden L”sung (z. B. 20 ml/kgKG, ggf. wiederholt).;Keine Angabe;Keine Angabe;Keine Angabe;A;Bolusgabe einer isotonen kristalloiden L”sung (z. B. 20 ml/kgKG, ggf. wiederholt).;mittel
82;Intensivmedizin;Welche Kompressions-Beatmungs-Verh„ltnisse gelten bei der Kinderreanimation durch professionelle Helfer (2 Helfer)?;"15 Thoraxkompressionen zu 2 Beatmungen (15:2); bei Laien 30:2.";Keine Angabe;Keine Angabe;Keine Angabe;A;"15 Thoraxkompressionen zu 2 Beatmungen (15:2); bei Laien 30:2.";mittel
83;Intensivmedizin;Welche zwei Herzrhythmen sind defibrillierbar?;Keine Angabe;Keine Angabe;Keine Angabe;Kammerflimmern und pulslose ventrikul„re Tachykardie.;D;Kammerflimmern und pulslose ventrikul„re Tachykardie.;mittel
84;Intensivmedizin;Welche Energie wird zur Defibrillation im Kindesalter empfohlen?;Keine Angabe;4 J/kgKG pro Schock.;Keine Angabe;Keine Angabe;B;4 J/kgKG pro Schock.;schwer
85;Intensivmedizin;Welches Medikament wird bei asystolem/PEA-Kreislaufstillstand im Kindesalter wiederholt gegeben und in welcher Dosis?;Keine Angabe;Keine Angabe;Keine Angabe;Adrenalin 10 æg/kgKG i.v./i.o., wiederholt alle 3?5 Minuten.;D;Adrenalin 10 æg/kgKG i.v./i.o., wiederholt alle 3?5 Minuten.;schwer
86;Intensivmedizin;Was ist ein Status epilepticus (vereinfachte praktische Definition)?;Keine Angabe;Keine Angabe;Keine Angabe;Ein anhaltender Krampfanfall (z. B. >5 Minuten) oder rezidivierende Anf„lle ohne zwischenzeitliche Wiedererlangung des Bewusstseins.;D;Ein anhaltender Krampfanfall (z. B. >5 Minuten) oder rezidivierende Anf„lle ohne zwischenzeitliche Wiedererlangung des Bewusstseins.;mittel
87;Intensivmedizin;Welche Medikamentengruppe ist die First-Line-Therapie des Status epilepticus?;Keine Angabe;Keine Angabe;Keine Angabe;Benzodiazepine (z. B. Midazolam, Lorazepam, Diazepam).;D;Benzodiazepine (z. B. Midazolam, Lorazepam, Diazepam).;leicht
88;Intensivmedizin;Was beschreibt das SIRS (Systemic Inflammatory Response Syndrome)?;Keine Angabe;Keine Angabe;Keine Angabe;"Eine systemische Entzndungsreaktion mit Ver„nderung von Temperatur, Herzfrequenz, Atemfrequenz und Leukozytenzahl; eine Sepsis ist SIRS plus (vermutete) Infektion.";D;"Eine systemische Entzndungsreaktion mit Ver„nderung von Temperatur, Herzfrequenz, Atemfrequenz und Leukozytenzahl; eine Sepsis ist SIRS plus (vermutete) Infektion.";mittel
89;Intensivmedizin;Welche seltene, aber gefrchtete Komplikation kann bei l„ngerer hochdosierter Propofolinfusion auftreten?;Keine Angabe;Keine Angabe;Keine Angabe;Das Propofolinfusionssyndrom (PRIS) mit Laktatazidose, Rhabdomyolyse, Herzversagen.;D;Das Propofolinfusionssyndrom (PRIS) mit Laktatazidose, Rhabdomyolyse, Herzversagen.;schwer
90;Intensivmedizin;Welche Komplikation ist beim hypoxisch-isch„mischen oder traumatischen Hirnschaden besonders zu berwachen und zu vermeiden?;Keine Angabe;Der erh”hte Hirndruck (intrakranielle Drucksteigerung) und das Hirn”dem.;Keine Angabe;Keine Angabe;B;Der erh”hte Hirndruck (intrakranielle Drucksteigerung) und das Hirn”dem.;mittel
91;Intensivmedizin;Welche supportive Maánahme ist beim septischen Schock neben Volumen und Antibiotika frhzeitig zu erw„gen, wenn die Volumengabe nicht ausreicht?;Keine Angabe;Keine Angabe;Keine Angabe;Vasoaktive/inotrope Katecholamine (z. B. Noradrenalin, Adrenalin/Dobutamin).;D;Vasoaktive/inotrope Katecholamine (z. B. Noradrenalin, Adrenalin/Dobutamin).;mittel
92;Neurop„diatrie;Wie ist der einfache (unkomplizierte) Fieberkrampf charakterisiert?;Keine Angabe;Generalisierter Anfall <15 Minuten, ohne fokale Zeichen, ohne Wiederholung innerhalb von 24 h, meist bei Kindern zwischen 6 Monaten und 5 Jahren.;Keine Angabe;Keine Angabe;B;Generalisierter Anfall <15 Minuten, ohne fokale Zeichen, ohne Wiederholung innerhalb von 24 h, meist bei Kindern zwischen 6 Monaten und 5 Jahren.;mittel
93;Neurop„diatrie;Wodurch ist ein komplizierter Fieberkrampf definiert?;Keine Angabe;Lange Dauer (>15 min), fokale Symptome, mehrfaches Auftreten innerhalb von 24 h oder postiktale neurologische Auff„lligkeiten.;Keine Angabe;Keine Angabe;B;Lange Dauer (>15 min), fokale Symptome, mehrfaches Auftreten innerhalb von 24 h oder postiktale neurologische Auff„lligkeiten.;mittel
94;Neurop„diatrie;Was ist die h„ufigste Ursache einer Bewegungsst”rung/Behinderung im Kindesalter, die durch eine frhkindliche Hirnsch„digung entsteht?;Keine Angabe;Keine Angabe;Keine Angabe;Die Zerebralparese (CP).;D;Die Zerebralparese (CP).;leicht
95;Neurop„diatrie;Welche vier klinischen Subtypen der Zerebralparese werden unterschieden?;Keine Angabe;Spastische, dyskinetische, ataktische und gemischte Form.;Keine Angabe;Keine Angabe;B;Spastische, dyskinetische, ataktische und gemischte Form.;mittel
96;Neurop„diatrie;Welches Epilepsiesyndrom des S„uglingsalters zeigt BNS-Anf„lle (Blitz-Nick-Salaam) und ein typisches EEG-Muster (Hypsarrhythmie)?;Keine Angabe;Keine Angabe;Das West-Syndrom.;Keine Angabe;C;Das West-Syndrom.;schwer
97;Neurop„diatrie;Womit wird das West-Syndrom typischerweise behandelt?;Mit ACTH/Kortikosteroiden oder Vigabatrin (Letzteres besonders bei tuber”ser Sklerose).;Keine Angabe;Keine Angabe;Keine Angabe;A;Mit ACTH/Kortikosteroiden oder Vigabatrin (Letzteres besonders bei tuber”ser Sklerose).;schwer
98;Neurop„diatrie;Welches gutartige fokale Epilepsiesyndrom des Schulkindes geht mit n„chtlichen, oft das Gesicht betreffenden Anf„llen einher (Rolando-Region)?;Keine Angabe;Keine Angabe;Die Rolando-Epilepsie (benigne Epilepsie mit zentrotemporalen Spikes).;Keine Angabe;C;Die Rolando-Epilepsie (benigne Epilepsie mit zentrotemporalen Spikes).;mittel
99;Neurop„diatrie;Wie „uáert sich die Absence-Epilepsie und welches EEG-Korrelat ist typisch?;Keine Angabe;Keine Angabe;"Kurze Bewusstseinspausen (Innehalten/Starren) ohne Sturz; EEG: generalisierte 3/s-Spike-Wave-Komplexe.";Keine Angabe;C;"Kurze Bewusstseinspausen (Innehalten/Starren) ohne Sturz; EEG: generalisierte 3/s-Spike-Wave-Komplexe.";mittel
100;Neurop„diatrie;Welches Medikament gilt als Mittel der Wahl bei der Absence-Epilepsie?;Keine Angabe;Keine Angabe;Ethosuximid (alternativ Valproat).;Keine Angabe;C;Ethosuximid (alternativ Valproat).;schwer
101;Neurop„diatrie;Welche X-chromosomal vererbte Muskeldystrophie beruht auf dem Fehlen von Dystrophin und zeigt das Gowers-Zeichen?;Keine Angabe;Keine Angabe;Keine Angabe;Die Duchenne-Muskeldystrophie.;D;Die Duchenne-Muskeldystrophie.;mittel
102;Neurop„diatrie;Welcher Laborwert ist bei der Duchenne-Muskeldystrophie stark erh”ht?;Keine Angabe;Keine Angabe;Keine Angabe;Die Kreatinkinase (CK).;D;Die Kreatinkinase (CK).;mittel
103;Neurop„diatrie;Welche neuromuskul„re Erkrankung beruht auf einer Mutation im SMN1-Gen mit Untergang der Vorderhornzellen?;Keine Angabe;Keine Angabe;Die spinale Muskelatrophie (SMA).;Keine Angabe;C;Die spinale Muskelatrophie (SMA).;schwer
104;Neurop„diatrie;Was ist die h„ufigste Ursache eines kindlichen Kopfschmerzes mit šbelkeit, Licht-/L„rmempfindlichkeit und episodischem Verlauf?;Die Migr„ne.;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Migr„ne.;leicht
105;Neurop„diatrie;Welche Erreger sind bei der bakteriellen Meningitis jenseits der Neonatalzeit am h„ufigsten?;Keine Angabe;Pneumokokken (Streptococcus pneumoniae) und Meningokokken (Neisseria meningitidis).;Keine Angabe;Keine Angabe;B;Pneumokokken (Streptococcus pneumoniae) und Meningokokken (Neisseria meningitidis).;mittel
106;Neurop„diatrie;Welche Liquorkonstellation spricht fr eine bakterielle (im Gegensatz zur viralen) Meningitis?;Keine Angabe;Keine Angabe;Trber Liquor mit granulozyt„rer Pleozytose, erh”htem Eiweiá, erniedrigter Glukose (Liquor/Serum-Quotient <0,5) und erh”htem Laktat.;Keine Angabe;C;Trber Liquor mit granulozyt„rer Pleozytose, erh”htem Eiweiá, erniedrigter Glukose (Liquor/Serum-Quotient <0,5) und erh”htem Laktat.;schwer
107;Neurop„diatrie;Welche supportive Therapie wird bei bakterieller Meningitis (v. a. Haemophilus) zus„tzlich zum Antibiotikum gegeben, um H”rsch„den zu reduzieren?;Keine Angabe;Keine Angabe;Dexamethason (kurz vor oder mit der ersten Antibiotikagabe).;Keine Angabe;C;Dexamethason (kurz vor oder mit der ersten Antibiotikagabe).;schwer
108;Neurop„diatrie;Was versteht man unter einem Hydrozephalus?;Keine Angabe;Eine Erweiterung der inneren und/oder „uáeren Liquorr„ume durch St”rung von Produktion, Zirkulation oder Resorption des Liquors.;Keine Angabe;Keine Angabe;B;Eine Erweiterung der inneren und/oder „uáeren Liquorr„ume durch St”rung von Produktion, Zirkulation oder Resorption des Liquors.;leicht
109;Neurop„diatrie;Welche neurokutane Erkrankung zeigt Caf‚-au-lait-Flecken, Neurofibrome und Lisch-Kn”tchen?;Keine Angabe;Keine Angabe;Die Neurofibromatose Typ 1 (von Recklinghausen).;Keine Angabe;C;Die Neurofibromatose Typ 1 (von Recklinghausen).;mittel
110;Neurop„diatrie;Welche neurokutane Erkrankung ist durch tuber”se Hamartome, Epilepsie (oft West-Syndrom) und kutane Zeichen (z. B. White Spots) gekennzeichnet?;Die tuber”se Sklerose (Bourneville-Pringle).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die tuber”se Sklerose (Bourneville-Pringle).;schwer
111;Neurop„diatrie;Welche akute, meist postinfekti”se Polyradikuloneuropathie zeigt aufsteigende schlaffe L„hmungen und eine Liquor-Eiweiá-Erh”hung bei normaler Zellzahl?;Keine Angabe;Keine Angabe;Keine Angabe;Das Guillain-Barr‚-Syndrom (zytoalbumin„re Dissoziation im Liquor).;D;Das Guillain-Barr‚-Syndrom (zytoalbumin„re Dissoziation im Liquor).;schwer
112;Rheumatologie/Immunologie;Wie lange muss eine Arthritis (vor dem 16. Lebensjahr) bestehen, um als juvenile idiopathische Arthritis (JIA) klassifiziert zu werden?;Keine Angabe;Keine Angabe;Mindestens 6 Wochen, bei Beginn vor dem 16. Geburtstag und nach Ausschluss anderer Ursachen.;Keine Angabe;C;Mindestens 6 Wochen, bei Beginn vor dem 16. Geburtstag und nach Ausschluss anderer Ursachen.;mittel
113;Rheumatologie/Immunologie;Wie unterscheidet die ILAR-Klassifikation persistierende und erweiterte (extended) Oligoarthritis?;Keine Angabe;"Persistierende Oligoarthritis: ?4 betroffene Gelenke im gesamten Verlauf; extended Oligoarthritis: nach den ersten 6 Monaten >4 Gelenke.";Keine Angabe;Keine Angabe;B;"Persistierende Oligoarthritis: ?4 betroffene Gelenke im gesamten Verlauf; extended Oligoarthritis: nach den ersten 6 Monaten >4 Gelenke.";schwer
114;Rheumatologie/Immunologie;Welche gefrchtete extraartikul„re Manifestation der Oligoarthritis verl„uft oft asymptomatisch und erfordert regelm„áige augen„rztliche Kontrollen?;Keine Angabe;Keine Angabe;Die (chronische anteriore) Uveitis ? besonders bei ANA-positiven M„dchen mit Oligoarthritis.;Keine Angabe;C;Die (chronische anteriore) Uveitis ? besonders bei ANA-positiven M„dchen mit Oligoarthritis.;schwer
115;Rheumatologie/Immunologie;Welcher Antik”rper ist bei der Oligoarthritis mit Uveitis-Risiko h„ufig positiv?;Keine Angabe;Antinukle„re Antik”rper (ANA).;Keine Angabe;Keine Angabe;B;Antinukle„re Antik”rper (ANA).;mittel
116;Rheumatologie/Immunologie;Welche Form der JIA imitiert mit hohem septischen Fieber, lachsfarbenem Exanthem und Serositis einen septischen Verlauf (Still-Syndrom)?;Die systemische juvenile idiopathische Arthritis (SJIA).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die systemische juvenile idiopathische Arthritis (SJIA).;mittel
117;Rheumatologie/Immunologie;Welche schwere Komplikation der systemischen JIA ist durch Zytopenie, hohe Ferritinwerte und Gerinnungsst”rung gekennzeichnet?;Keine Angabe;Keine Angabe;Keine Angabe;Das Makrophagenaktivierungssyndrom (MAS) bzw. die h„mophagozytische Lymphohistiozytose.;D;Das Makrophagenaktivierungssyndrom (MAS) bzw. die h„mophagozytische Lymphohistiozytose.;schwer
118;Rheumatologie/Immunologie;Mit welchem HLA-Merkmal ist die Enthesitis-assoziierte Arthritis h„ufig assoziiert?;Keine Angabe;Keine Angabe;Mit HLA-B27.;Keine Angabe;C;Mit HLA-B27.;schwer
119;Rheumatologie/Immunologie;Welche Basistherapie/Biologika werden bei der JIA h„ufig eingesetzt?;Keine Angabe;Keine Angabe;Keine Angabe;Methotrexat als Basistherapeutikum sowie Biologika wie TNF?-Blocker (bzw. IL-1-/IL-6-Blocker bei systemischer Form).;D;Methotrexat als Basistherapeutikum sowie Biologika wie TNF?-Blocker (bzw. IL-1-/IL-6-Blocker bei systemischer Form).;mittel
120;Rheumatologie/Immunologie;Welche Vaskulitis der kleinen Gef„áe zeigt eine tastbare Purpura (v. a. an Beinen/Ges„á), Arthritis, Bauchschmerzen und m”gliche Nierenbeteiligung?;Keine Angabe;Die Purpura Sch”nlein-Henoch (IgA-Vaskulitis).;Keine Angabe;Keine Angabe;B;Die Purpura Sch”nlein-Henoch (IgA-Vaskulitis).;mittel
121;Rheumatologie/Immunologie;Welche Komplikation der Purpura Sch”nlein-Henoch macht regelm„áige Urin- und Blutdruckkontrollen erforderlich?;Keine Angabe;Keine Angabe;Keine Angabe;Die (IgA-)Nephritis (Nierenbeteiligung).;D;Die (IgA-)Nephritis (Nierenbeteiligung).;mittel
122;Rheumatologie/Immunologie;Nennen Sie die klassischen Hauptkriterien des Kawasaki-Syndroms (neben Fieber ?5 Tage).;Keine Angabe;Keine Angabe;Keine Angabe;Konjunktivitis (nicht eitrig), Lippen-/Mundschleimhautver„nderungen (Erdbeerzunge), Exanthem, Ver„nderungen der Extremit„ten (Palmar-/Plantarerythem, sp„ter Schuppung) und zervikale Lymphknotenschwellung.;D;Konjunktivitis (nicht eitrig), Lippen-/Mundschleimhautver„nderungen (Erdbeerzunge), Exanthem, Ver„nderungen der Extremit„ten (Palmar-/Plantarerythem, sp„ter Schuppung) und zervikale Lymphknotenschwellung.;schwer
123;Rheumatologie/Immunologie;Welche gefrchtete kardiale Komplikation droht beim unbehandelten Kawasaki-Syndrom?;Keine Angabe;Keine Angabe;Koronararterienaneurysmen.;Keine Angabe;C;Koronararterienaneurysmen.;mittel
124;Rheumatologie/Immunologie;Wie wird das Kawasaki-Syndrom behandelt und in welchem Zeitfenster?;Hochdosierte intraven”se Immunglobuline (IVIG) plus Acetylsalicyls„ure, m”glichst innerhalb der ersten 10 Tage.;Keine Angabe;Keine Angabe;Keine Angabe;A;Hochdosierte intraven”se Immunglobuline (IVIG) plus Acetylsalicyls„ure, m”glichst innerhalb der ersten 10 Tage.;schwer
125;Rheumatologie/Immunologie;Welcher schwere kombinierte Immundefekt fhrt zu frher Manifestation mit schweren Infektionen, Gedeihst”rung und fehlenden T-Zellen?;Keine Angabe;Keine Angabe;Der schwere kombinierte Immundefekt (SCID).;Keine Angabe;C;Der schwere kombinierte Immundefekt (SCID).;schwer
126;Rheumatologie/Immunologie;Welcher angeborene Immundefekt der Phagozyten (NADPH-Oxidase-Defekt) fhrt zu rezidivierenden Abszessen durch katalasepositive Erreger?;Keine Angabe;Keine Angabe;Keine Angabe;Die septische (chronische) Granulomatose (CGD).;D;Die septische (chronische) Granulomatose (CGD).;schwer
127;Infektiologie;Welche zwei Erreger sind heute die h„ufigsten Ursachen einer bakteriellen Meningitis jenseits der Neugeborenenperiode (nach Einfhrung der Impfungen)?;Pneumokokken und Meningokokken (Haemophilus influenzae Typ b ist durch Impfung extrem selten geworden).;Keine Angabe;Keine Angabe;Keine Angabe;A;Pneumokokken und Meningokokken (Haemophilus influenzae Typ b ist durch Impfung extrem selten geworden).;mittel
128;Infektiologie;Welches Krankheitsbild ist beim foudroyanten Verlauf einer Meningokokkensepsis mit Nebennierenblutung und Schock gemeint?;Keine Angabe;Keine Angabe;Das Waterhouse-Friderichsen-Syndrom.;Keine Angabe;C;Das Waterhouse-Friderichsen-Syndrom.;schwer
129;Infektiologie;Welche Maánahme erhalten enge Kontaktpersonen von Meningokokken-Erkrankten?;Keine Angabe;Keine Angabe;Keine Angabe;Eine Chemoprophylaxe (z. B. Rifampicin, Ciprofloxacin oder Ceftriaxon).;D;Eine Chemoprophylaxe (z. B. Rifampicin, Ciprofloxacin oder Ceftriaxon).;mittel
130;Infektiologie;Welcher Erreger verursacht Pertussis und wie verl„uft die Erkrankung klassisch?;Keine Angabe;Keine Angabe;"Bordetella pertussis; klassisch in drei Stadien (Stadium catarrhale, convulsivum mit stakkatoartigen Hustenanf„llen, decrementi).";Keine Angabe;C;"Bordetella pertussis; klassisch in drei Stadien (Stadium catarrhale, convulsivum mit stakkatoartigen Hustenanf„llen, decrementi).";mittel
131;Infektiologie;Welches Antibiotikum wird zur Therapie und Umgebungsprophylaxe der Pertussis eingesetzt?;Keine Angabe;Keine Angabe;Keine Angabe;Makrolide (z. B. Azithromycin, Clarithromycin, Erythromycin).;D;Makrolide (z. B. Azithromycin, Clarithromycin, Erythromycin).;mittel
132;Infektiologie;Welcher Erreger ist im S„uglingsalter die h„ufigste Ursache einer Bronchiolitis?;Keine Angabe;Keine Angabe;Keine Angabe;Das Respiratory-Syncytial-Virus (RSV).;D;Das Respiratory-Syncytial-Virus (RSV).;leicht
133;Infektiologie;Welche passive Immunprophylaxe steht fr RSV bei Risiko-(Frh-)Geborenen zur Verfgung?;Keine Angabe;Keine Angabe;Palivizumab (monoklonaler Antik”rper).;Keine Angabe;C;Palivizumab (monoklonaler Antik”rper).;schwer
134;Infektiologie;Welches Virus verursacht die infekti”se Mononukleose (Pfeiffersches Drsenfieber)?;Keine Angabe;Das Epstein-Barr-Virus (EBV).;Keine Angabe;Keine Angabe;B;Das Epstein-Barr-Virus (EBV).;leicht
